id,name,type,link,is_primary,student,lecture_id
pml-chapter-18,PML - Chapter 18,reading,https://probml.github.io/pml-book/book1.html,FALSE,,lec-decision-trees
islp-chapter-8,ISLP - Chapter 8,reading,https://www.statlearning.com/,FALSE,,lec-decision-trees
uml-chapter-18,UML - Chapter 18,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html,FALSE,,lec-decision-trees
mit-6034,MIT 6.034,video,https://www.youtube.com/watch?v=SXBG3RGr_Rc,FALSE,,lec-decision-trees
cornell-cs4780,Cornell CS4780,video,https://youtu.be/a3ioGSwfVpE?si=f0JevsrXU2q3LZw6,FALSE,,lec-decision-trees
playing-tennis-decision-tree,Playing Tennis Decision Tree,notebook,https://colab.research.google.com/drive/1C8MwpktYioRquWU_tz98funLSbe8nM5x?usp=sharing,FALSE,,lec-decision-trees
entropy-statquest,Entropy (StatQuest),video,https://youtu.be/YtebGVx-Fxw?si=zC-J1JrOOe64b8cM,FALSE,,lec-decision-trees
decision-trees-statquest,Decision Trees (StatQuest),video,https://youtu.be/7VeUPuFGJHk?si=SO3AHNT9KX1vJdln,FALSE,,lec-decision-trees
regression-trees-statquest,Regression Trees (StatQuest),video,https://youtu.be/g9c66TUylZ4?si=SpvGvKvq9DmjLXYi,FALSE,,lec-decision-trees
information-theory-3b1b,Information Theory (3b1b),video,https://youtu.be/v68zYyaEmEA?si=0mkPXsH4BYhxzSCl,FALSE,,lec-decision-trees
decision-trees-mlu,Decision Trees (MLU),blogpost,https://mlu-explain.github.io/decision-tree/,TRUE,,lec-decision-trees
decision-trees-r2d3,Decision Trees (r2d3),blogpost,https://www.r2d3.us/visual-intro-to-machine-learning-part-1/,FALSE,,lec-decision-trees
ig-and-entropy-zhou,IG and Entropy (Zhou),blogpost,https://victorzhou.com/blog/information-gain/,FALSE,,lec-decision-trees
information-theory-olah,Information Theory (Olah),blogpost,https://colah.github.io/posts/2015-09-Visual-Information/,FALSE,,lec-decision-trees
1966-experiments-in-induction-hunt-et-al,(1966) Experiments in Induction (Hunt et al.),paper,https://www.sciencedirect.com/science/article/pii/S0020737369800283,FALSE,,lec-decision-trees
1986-induction-of-decision-trees-quinlan,(1986) Induction of Decision Trees (Quinlan),paper,https://link.springer.com/article/10.1007/BF00116251,FALSE,,lec-decision-trees
1984-classification-and-regression-trees-brieman-et-al,(1984) Classification and Regression Trees (Brieman et al.),paper,https://www.taylorfrancis.com/books/mono/10.1201/9781315139470/classification-regression-trees-leo-breiman-jerome-friedman-olshen-charles-stone,FALSE,,lec-decision-trees
slides,Slides,reading,https://drive.google.com/file/d/1M3NbjhXWsuPHZ1yJ9fC2J3Il5rAAbxtg/view?usp=sharing,FALSE,,lec-decision-trees
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e50e76af-fe7a-4b11-94d0-b3590157a71f,FALSE,,lec-decision-trees
fca-section-96,FCA - Section 9.6,reading,https://artint.info/3e/html/ArtInt3e.Ch9.html,FALSE,,lec-markov-models
markov-babbler,Markov Babbler,notebook,https://colab.research.google.com/drive/1dthRebtlLdXYt9ZSYuCsC11896ovNkCV?usp=sharing,FALSE,,lec-markov-models
pml-sections-3612,PML - Sections 3.6.1.2,reading,https://probml.github.io/pml-book/book1.html,FALSE,,lec-markov-models
harvard-cs50,Harvard CS50,video,https://youtu.be/D8RRq3TbtHU?si=OHgr_CzMVECPEqdc&t=5578,FALSE,,lec-markov-models
stanford-cs221,Stanford CS221,video,https://www.youtube.com/watch?v=neeaJb3wCYw&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=30,FALSE,,lec-markov-models
ngram-language-models,N-Gram Language Models,blogpost,https://web.stanford.edu/~jurafsky/slp3/3.pdf,FALSE,,lec-markov-models
1906-extension-of-the-law-of-large-numbers-to-dependent-events-markov,(1906) Extension of the Law of Large Numbers to Dependent Events (Markov),paper,https://www.emis.de/journals/JEHPS/Novembre2006/Markov3pdf.pdf,FALSE,,lec-markov-models
1966-statistical-inference-for-probabilistic-functions-of-finite-state-markove-chains-baum-and-petrie,(1966) Statistical Inference for Probabilistic Functions of Finite State Markove Chains (Baum and Petrie),paper,https://projecteuclid.org/journals/annals-of-mathematical-statistics/volume-37/issue-6/Statistical-Inference-for-Probabilistic-Functions-of-Finite-State-Markov-Chains/10.1214/aoms/1177699147.full,FALSE,,lec-markov-models
1989-a-tutorial-on-hidden-markov-models-and-selected-applications-in-speech-recognition-rabiner,(1989) A Tutorial on Hidden Markov Models and Selected Applications in Speech Recognition (Rabiner),paper,https://ieeexplore.ieee.org/document/18626,FALSE,,lec-markov-models
hidden-markov-models,Hidden Markov Models,reading,https://web.stanford.edu/~jurafsky/slp3/A.pdf,FALSE,,lec-markov-models
markov-chains-clearly-explained,Markov Chains Clearly Explained!,video,https://www.youtube.com/watch?v=i3AkTO9HLXo,TRUE,,lec-markov-models
hidden-markov-model-clearly-explained,Hidden Markov Model Clearly Explained!,video,https://www.youtube.com/watch?v=RWkHJnFj5rY,FALSE,,lec-markov-models
hidden-markov-model-data-science-concept,Hidden Markov Model: Data Science Concept,video,https://www.youtube.com/watch?v=fX5bYmnHqqE,TRUE,,lec-markov-models
the-viterbi-algorithm-natural-language-processing,The Viterbi Algorithm: Natural Language Processing,video,https://www.youtube.com/watch?v=IqXdjdOgXPM,FALSE,,lec-markov-models
slides,Slides,reading,https://drive.google.com/file/d/1EATifwt6FITbeH2spLaqyIgj0KsYwgeX/view?usp=sharing,FALSE,,lec-markov-models
king-james-programming,King James Programming,blogpost,https://www.tumblr.com/kingjamesprogramming,FALSE,,lec-markov-models
markov-chains-are-the-original-language-models,Markov Chains are the Original Language Models,blogpost,https://elijahpotter.dev/articles/markov_chains_are_the_original_language_models,FALSE,,lec-markov-models
the-strange-math-that-predicts-almost-anything,The Strange Math That Predicts (Almost) Anything,video,https://youtu.be/KZeIEiBrT_w,FALSE,,lec-markov-models
fca-sections-91-through-94,FCA - Sections 9.1 through 9.4,reading,https://artint.info/3e/html/ArtInt3e.Ch9.html,FALSE,,lec-bayesian-reasoning
pml-sections-23-361-46-51-93,"PML - Sections 2.3, 3.6.1, 4.6, 5.1, 9.3",reading,https://probml.github.io/pml-book/book1.html,FALSE,,lec-bayesian-reasoning
islp-section-444,ISLP - Section 4.4.4,reading,https://www.statlearning.com/,FALSE,,lec-bayesian-reasoning
uml-chapter-24,UML - Chapter 24,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html,FALSE,,lec-bayesian-reasoning
harvard-cs50,Harvard CS50,video,https://www.youtube.com/watch?v=D8RRq3TbtHU,FALSE,,lec-bayesian-reasoning
stanford-cs221,Stanford CS221,video,https://www.youtube.com/watch?v=fA7zP6EcVdw&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=32,FALSE,,lec-bayesian-reasoning
mit-6034,MIT 6.034,video,https://www.youtube.com/watch?v=A6Ud6oUCRak,FALSE,,lec-bayesian-reasoning
naive-bayes-for-iris-classification,Naive Bayes for Iris Classification,notebook,https://drive.google.com/file/d/1ucLp9MQWaBnmBXlaCNBuba8WYWLwl0pH/view?usp=sharing,FALSE,,lec-bayesian-reasoning
naive-bayes-visualizer,Naive Bayes Visualizer,notebook,https://colab.research.google.com/drive/1irskT_qQ0EQOZIvf35u7RNbKZu3Sea3w?usp=sharing,FALSE,,lec-bayesian-reasoning
