Section,Date,Topics,Resource Name,Type,Link
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=23a718e2-6f4b-45a8-bca0-b282016be13b
Direct Fit Models,Wed 02/12,Bayesian Reasoning,"PML - Sections 2.3, 3.6.1, 4.6, 5.1, 9.3",reading,https://probml.github.io/pml-book/book1.html
Direct Fit Models,Wed 02/12,Bayesian Reasoning,ISLP - Section 4.4.4,reading,https://www.statlearning.com/
Direct Fit Models,Wed 02/12,Bayesian Reasoning,UML - Chapter 24,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Harvard CS50,video,https://www.youtube.com/watch?v=D8RRq3TbtHU
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Stanford CS221,video,https://www.youtube.com/watch?v=fA7zP6EcVdw&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=32
Direct Fit Models,Wed 02/12,Bayesian Reasoning,MIT 6.034,video,https://www.youtube.com/watch?v=A6Ud6oUCRak
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Naive Bayes for Iris Classification,notebook,https://drive.google.com/file/d/1ucLp9MQWaBnmBXlaCNBuba8WYWLwl0pH/view?usp=sharing
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Naive Bayes Visualizer,notebook,https://colab.research.google.com/drive/1irskT_qQ0EQOZIvf35u7RNbKZu3Sea3w?usp=sharing
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Cornell CS4780,video,https://youtu.be/pDHEX2usCS0?si=cPLXGP4n4A-FuNtI
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Conditional Probability (StatQuest),video,https://youtu.be/1ONDvW1UIJc?si=3mNParEk5_PjfnZN
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Bayes' Theorem (StatQuest),video,https://youtu.be/9wCnvr7Xw4E?si=PEhYzKTasfIq1xOx
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Likelihood (StatQuest),video,https://youtu.be/pYxNSUDSFH4?si=zt0zdX9Kf8-Z58jR
Direct Fit Models,Wed 02/12,Bayesian Reasoning,PDFs (StatQuest),video,https://youtu.be/oI3hZJqXJuc?si=z0mmgAYp_kQXztLu
Direct Fit Models,Wed 02/12,Bayesian Reasoning,MLE (StatQuest),video,https://youtu.be/XepXtl9YKwc?si=eIiQ1SJeyVNEj_ey
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Naive Bayes (StatQuest),video,https://youtu.be/O2L2Uv9pdDA?si=rAU-89pPD7qt_U-l
Direct Fit Models,Wed 02/12,Bayesian Reasoning,Gaussian NB (StatQuest),video,https://youtu.be/H3EjCKtlVog?si=BlD029fjYUcvGMAq
Direct Fit Models,Mon 02/17,Linear Regression,Slides,reading,https://drive.google.com/file/d/1CC4BIzS1dAEGTmRB6aRQhe9QL2iab7yq/view?usp=sharing
Direct Fit Models,Mon 02/17,Linear Regression,FCA - Sections 7.3.2 (First few paragraphs) and 7.4.2,reading,https://artint.info/3e/html/ArtInt3e.Ch7.S3.html
Direct Fit Models,Mon 02/17,Linear Regression,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f05aae98-bacc-46cd-86a0-b287016e7805
Direct Fit Models,Mon 02/17,Linear Regression,"PML - Sections 7.5, 8.1.3, Chapter 11",reading,https://probml.github.io/pml-book/book1.html
Direct Fit Models,Mon 02/17,Linear Regression,ISLP - Chapter 3,reading,https://www.statlearning.com/
Direct Fit Models,Mon 02/17,Linear Regression,D2L - Chapter 3.1,reading,https://d2l.ai/chapter_linear-regression/linear-regression.html
Direct Fit Models,Mon 02/17,Linear Regression,UML - Chapter 9.2,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Direct Fit Models,Mon 02/17,Linear Regression,Stanford CS221,video,https://www.youtube.com/watch?v=nEWNNt2KmfQ&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=5
Direct Fit Models,Mon 02/17,Linear Regression,Harvard CS50,video,https://youtu.be/-g0iJjnO2_w?si=jNuQG0o83uKw0qbR&t=2371
Direct Fit Models,Mon 02/17,Linear Regression,Cornell CS4780,video,https://youtu.be/_21o_ylL0q4?si=ee6JJ2WxAvA9hfyr
Direct Fit Models,Mon 02/17,Linear Regression,Singular Value Decomposition,notebook,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5aad0ebb-3b39-45cc-a3f3-b2740169d60b
Direct Fit Models,Mon 02/17,Linear Regression,Linear Regression and Regularization,notebook,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5aad0ebb-3b39-45cc-a3f3-b2740169d60b
Direct Fit Models,Mon 02/17,Linear Regression,Polynomial Regression,notebook,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5aad0ebb-3b39-45cc-a3f3-b2740169d60b
Direct Fit Models,Mon 02/17,Linear Regression,Linear Regression (StatQuest),video,https://youtu.be/nk2CQITm_eo?si=LtdQNRlau17NbjjF
Direct Fit Models,Mon 02/17,Linear Regression,Multiple Regression (StatQuest),video,https://youtu.be/zITIFTsivN8?si=f0YbEmnZ6_XFMpY5
Direct Fit Models,Mon 02/17,Linear Regression,Bias and Variance (StatQuest),video,https://youtu.be/EuBBz3bI-aA?si=WYsqtbrIZ6ICrYGP
Direct Fit Models,Mon 02/17,Linear Regression,L2 Regularization (StatQuest),video,https://youtu.be/Q81RR3yKn30?si=tMvAc1m9RHe7WYgH
Direct Fit Models,Mon 02/17,Linear Regression,L1 Regularization (StatQuest),video,https://youtu.be/NGf0voTMlcs?si=QACQkO-8Msm95saj
Direct Fit Models,Mon 02/17,Linear Regression,L1 vs. L2 Visualization (StatQuest),video,https://youtu.be/Xm2C_gTAl8c?si=MovbjzS6Cf-PN70-
Direct Fit Models,Mon 02/17,Linear Regression,Linear Regression (MLU),blogpost,https://mlu-explain.github.io/linear-regression/
Exam 01,Wed 02/19,Review,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=357cce38-675e-4cd8-9620-b28901732a3a
Supervised Learning,Wed 02/26,Perceptrons,Slides,reading,https://drive.google.com/file/d/1p1dYm8fdBJ1GsKVYdg2cpSUdUPuglWFy/view?usp=sharing
Supervised Learning,Wed 02/26,Perceptrons,PML - Section 10.2.5,reading,https://probml.github.io/pml-book/book1.html
Supervised Learning,Wed 02/26,Perceptrons,UML - Section 9.1.2,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Supervised Learning,Wed 02/26,Perceptrons,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ed8b2037-1683-41ad-af60-b290016968af
Supervised Learning,Wed 02/26,Perceptrons,Harvard CS50,video,https://youtu.be/-g0iJjnO2_w?si=rsqf3IhYQV_PKjkc&t=751
Supervised Learning,Wed 02/26,Perceptrons,Cornell CS4780,video,https://youtu.be/wl7gVvI-HuY?si=25ULeFrFpBytCOTn
